old_name,new_name,Found,EQUAL,,,,,,,
faria,Faria - A World of Mystery &amp; Danger! (USA),N,NOK,,,,,,,
Faxanadu (USA),Faxanadu (USA),Y,OK,,,,,,,
Felix the Cat (USA),Felix the Cat (USA),Y,OK,,,,,,,
FerrariGrandPrixChallenge,Ferrari Grand Prix Challenge (USA),N,NOK,,,,,,,
Fester's Quest (USA),Fester's Quest (USA),Y,OK,,,,,,,
FinalF3,notfound,N,NOK,,,,,,,
Final Fantasy2,notfound,N,NOK,,,,,,,
Fire 'n Ice (USA),Fire 'n Ice (USA),Y,OK,,,,,,,
Fist of the North Star (USA),Fist of the North Star (USA),Y,OK,,,,,,,
flintstones,notfound,N,NOK,,,,,,,
Flying_dragon,Flying Dragon - The Secret Scroll (USA),N,NOK,,,,,,,
Flying Warriors (USA),Flying Warriors (USA),Y,OK,,,,,,,
formula_one_built_to_win,Formula One - Built to Win (USA),N,NOK,,,,,,,
Frankenstein,Frankenstein - The Monster Returns (USA),Y,NOK,mv 'Frankenstein.nes' 'Frankenstein - The Monster Returns (USA).nes',,,,,,
Friday the 13th (USA),Friday the 13th (USA),Y,OK,,,,,,,
FuzFght,notfound,N,NOK,,,,,,,
galaga,Galaga - Demons of Death (USA),N,NOK,,,,,,,
Galaxy 5000 (USA),Galaxy 5000 (USA),Y,OK,,,,,,,
GanbareGoemon,notfound,N,NOK,,,,,,,
Gargoyle's Quest II (USA),Gargoyle's Quest II (USA),Y,OK,,,,,,,
Gauntlet II (USA),Gauntlet II (USA),Y,OK,,,,,,,
Gauntlet (USA),Gauntlet (USA),Y,OK,,,,,,,
Ghostbusters II (USA),Ghostbusters II (USA),Y,OK,,,,,,,
Ghost_&_goblins,Ghosts&apos;n Goblins (USA),N,NOK,,,,,,,
Ghoul School (USA),Ghoul School (USA),Y,OK,,,,,,,
GIJoe_AF,G.I. Joe - The Atlantis Factor (USA),N,NOK,,,,,,,
GIJoe,G.I. Joe - A Real American Hero (USA),N,NOK,,,,,,,
Gilligan's_island,"Adventures of Gilligan&apos;s Island, The (USA)",N,NOK,,,,,,,
GloryHeracles2,notfound,N,NOK,,,,,,,
Goal! Two (USA),Goal! Two (USA),Y,OK,,,,,,,
Goal! (USA),Goal! (USA),Y,OK,,,,,,,
Godzila2,Godzilla 2 - War of the Monsters (USA),N,NOK,,,,,,,
Godzila,Godzilla - Monster of Monsters! (USA),N,NOK,,,,,,,
Golgo13,Golgo 13 - Top Secret Episode (USA),N,NOK,,,,,,,
Goonies2,"Goonies II, The (USA)",N,NOK,,,,,,,
goonies,notfound,N,NOK,,,,,,,
Gradius (USA),Gradius (USA),Y,OK,,,,,,,
Gremlins2,Gremlins 2 - The New Batch (USA),N,NOK,,,,,,,
Guerrilla War (USA),Guerrilla War (USA),Y,OK,,,,,,,
GunNac,Gun Nac (USA),N,NOK,,,,,,,
Gun.Smoke (USA),Gun.Smoke (USA),Y,OK,,,,,,,
Gyruss (USA),Gyruss (USA),Y,OK,,,,,,,
Hatris (USA),Hatris (USA),Y,OK,,,,,,,
Heavy Barrel (USA),Heavy Barrel (USA),Y,OK,,,,,,,
Heavy Shreddin' (USA),Heavy Shreddin' (USA),Y,OK,,,,,,,
HelloKittysFlowerShop,notfound,N,NOK,,,,,,,
HelloKittyWorld,notfound,N,NOK,,,,,,,
Hoops (USA),Hoops (USA),Y,OK,,,,,,,
"Ice Climber (USA, Europe)","Ice Climber (USA, Europe)",Y,OK,,,,,,,
Ikari_warriors2,Ikari Warriors II - Victory Road (USA),N,NOK,,,,,,,
Ikari_warriors3,Ikari III - The Rescue (USA),N,NOK,,,,,,,
Ikari Warriors (USA),Ikari Warriors (USA),Y,OK,,,,,,,
Image Fight (USA),Image Fight (USA),Y,OK,,,,,,,
Immortal,"Immortal, The (USA)",Y,NOK,"mv 'Immortal.nes' 'Immortal, The (USA).nes'",,,,,,
IronSword - Wizards & Warriors II (USA),IronSword - Wizards & Warriors II (USA),Y,OK,,,,,,,
IronTank,Iron Tank - The Invasion of Normandy (USA),N,NOK,,,,,,,
Isolated Warrior (USA),Isolated Warrior (USA),Y,OK,,,,,,,
Jackal (USA),Jackal (USA),Y,OK,,,,,,,
Jackie Chan's Action Kung Fu (USA),Jackie Chan's Action Kung Fu (USA),Y,OK,,,,,,,
Jaws (USA),Jaws (USA),Y,OK,,,,,,,
Jetsons,"Jetsons, The - Cogswell's Caper (USA)",Y,NOK,"mv 'Jetsons.nes' 'Jetsons, The - Cogswell's Caper (USA).nes'",,,,,,
Jimmy Connors Tennis (USA),Jimmy Connors Tennis (USA),Y,OK,,,,,,,
Joe & Mac (USA),Joe & Mac (USA),Y,OK,,,,,,,
Journey to Silius (USA),Journey to Silius (USA),Y,OK,,,,,,,
Jungle_book,"Jungle Book, The (USA)",N,NOK,,,,,,,
Jurassic Park (USA),Jurassic Park (USA),Y,OK,,,,,,,
Karate_kid,"Karate Kid, The (USA)",N,NOK,,,,,,,
Karnov (USA),Karnov (USA),Y,OK,,,,,,,
KeroKeroKeroppisBigAdventure,notfound,N,NOK,,,,,,,
KeroKeroKeroppisGreatBigAdventure2,notfound,N,NOK,,,,,,,
KeroppiandKeroleensSplashBomb!,notfound,N,NOK,,,,,,,
Kick Master (USA),Kick Master (USA),Y,OK,,,,,,,
Kick Off (Europe),Kick Off (Europe),Y,OK,,,,,,,
"Kid Icarus (USA, Europe)","Kid Icarus (USA, Europe)",Y,OK,,,,,,,
Kid Klown in Night Mayor World (USA),Kid Klown in Night Mayor World (USA),Y,OK,,,,,,,
Kid Kool and the Quest for the Seven Wonder Herbs (USA),Kid Kool and the Quest for the Seven Wonder Herbs (USA),Y,OK,,,,,,,
Kid_niki,Kid Niki - Radical Ninja (USA),N,NOK,,,,,,,
King Neptune's Adventure (USA) (Unl),King Neptune's Adventure (USA) (Unl),Y,OK,,,,,,,
King's Knight (USA),King's Knight (USA),Y,OK,,,,,,,
Kings of the Beach - Professional Beach Volleyball (USA),Kings of the Beach - Professional Beach Volleyball (USA),Y,OK,,,,,,,
Kirby's Adventure (USA),Kirby's Adventure (USA),Y,OK,,,,,,,
KiwiKraze,Kiwi Kraze - A Bird-Brained Adventure! (USA),N,NOK,,,,,,,
Konami Hyper Soccer (Europe),Konami Hyper Soccer (Europe),Y,OK,,,,,,,
KrionCon,"Krion Conquest, The (USA)",N,NOK,,,,,,,
Krusty's Fun House (USA),Krusty's Fun House (USA),Y,OK,,,,,,,
Kung-Fu Heroes (USA),Kung-Fu Heroes (USA),Y,OK,,,,,,,
Laser Invasion (USA),Laser Invasion (USA),Y,OK,,,,,,,
Legacy of the Wizard (USA),Legacy of the Wizard (USA),Y,OK,,,,,,,
Legendary Wings (USA),Legendary Wings (USA),Y,OK,,,,,,,
legend_of_kage,"Legend of Kage, The (USA)",N,NOK,,,,,,,
Legends of the Diamond - The Baseball Championship Game (USA),Legends of the Diamond - The Baseball Championship Game (USA),Y,OK,,,,,,,
LegGhost,Legend of the Ghost Lion (USA),N,NOK,,,,,,,
LegZelda,"Legend of Zelda, The (USA)",N,NOK,,,,,,,
Lemmings (USA),Lemmings (USA),Y,OK,,,,,,,
L'empereur,"Empereur, L&apos; (USA)",N,NOK,,,,,,,
Life Force (USA),Life Force (USA),Y,OK,,,,,,,
Linus Spacehead's Cosmic Crusade (USA) (Unl),Linus Spacehead's Cosmic Crusade (USA) (Unl),Y,OK,,,,,,,
little_mermaid,"Little Mermaid, The (USA)",N,NOK,,,,,,,
littlenemo,Little Nemo - The Dream Master (USA),N,NOK,,,,,,,
Little Ninja Brothers (USA),Little Ninja Brothers (USA),Y,OK,,,,,,,
Little Samson (USA),Little Samson (USA),Y,OK,,,,,,,
Lode Runner (USA),Lode Runner (USA),Y,OK,,,,,,,
LoneRngr,"Lone Ranger, The (USA)",N,NOK,,,,,,,
Loopz (USA),Loopz (USA),Y,OK,,,,,,,
